Season,Race,Track,Pos,St,#,Driver,Sponsor / Owner,Truck,Laps,Status,Led,Pts,PPts
2020,1,Daytona,1.0,11.0,98.0,Grant Enfinger,Champion / Curb Records (Mike Curb),Ford,106.0,running,41.0,53.0,6.0
2020,1,Daytona,2.0,23.0,3.0,Jordan Anderson,K-Seal / Bommarito.com (Jordan Anderson),Chevrolet,106.0,running,0.0,35.0,0.0
2020,1,Daytona,3.0,21.0,9.0,Codie Rohrbaugh,GCM / CR7 Motorsports (Codie Rohrbaugh),Chevrolet,106.0,running,0.0,34.0,0.0
2020,1,Daytona,4.0,16.0,19.0,Derek Kraus,Shockwave Marine Suspension Seating (Bill McAnally),Toyota,106.0,running,0.0,33.0,0.0
2020,1,Daytona,5.0,30.0,44.0,Natalie Decker,N29 Technologies (Al Niece),Chevrolet,106.0,running,0.0,32.0,0.0
2020,1,Daytona,6.0,15.0,16.0,Austin Hill,United Rentals (Shigeaki Hattori),Toyota,106.0,running,11.0,42.0,0.0
2020,1,Daytona,7.0,5.0,13.0,Johnny Sauter,Tenda / ThorSport 25th Anniversary (Duke Thorson),Ford,106.0,running,0.0,39.0,0.0
2020,1,Daytona,8.0,4.0,40.0,Ross Chastain,Plan B Sales (Al Niece),Chevrolet,106.0,running,0.0,0.0,0.0
2020,1,Daytona,9.0,12.0,2.0,Sheldon Creed,Chevy.com / Trench Shoring (Maury Gallagher),Chevrolet,106.0,running,2.0,30.0,0.0
2020,1,Daytona,10.0,31.0,33.0,Jason White,YourGMCTruckStore.com (Josh Reaume),Chevrolet,106.0,running,0.0,27.0,0.0
2020,1,Daytona,11.0,6.0,21.0,Zane Smith,ICON Vehicle Dynamics (Maury Gallagher),Chevrolet,106.0,running,0.0,26.0,0.0
2020,1,Daytona,12.0,1.0,51.0,Riley Herbst,Mobil 1 / ORCA Coolers (Kyle Busch),Toyota,106.0,running,21.0,0.0,0.0
2020,1,Daytona,13.0,2.0,23.0,Brett Moffitt,CMRroofing.com (Maury Gallagher),Chevrolet,106.0,running,0.0,31.0,0.0
2020,1,Daytona,14.0,19.0,4.0,Cory Roper,Alliance Aviation (Roper Racing),Ford,106.0,running,0.0,23.0,0.0
2020,1,Daytona,15.0,10.0,88.0,Matt Crafton,Mold Armor / Menards (Duke Thorson),Ford,106.0,running,0.0,22.0,0.0
2020,1,Daytona,16.0,25.0,38.0,Todd Gilliland,BTS Tire & Wheel Distributors / Black's Tire (Bob Jenkins),Ford,106.0,running,0.0,22.0,0.0
2020,1,Daytona,17.0,27.0,30.0,Brennan Poole,Spartan Mosquito (Steven Lane),Toyota,106.0,running,0.0,0.0,0.0
2020,1,Daytona,18.0,9.0,7.0,Korbin Forrister,50 Egg Music (All Out Motorsports),Toyota,106.0,running,0.0,19.0,0.0
2020,1,Daytona,19.0,29.0,20.0,Spencer Boyd,Cura Life (Randy Young),Chevrolet,105.0,running,0.0,18.0,0.0
2020,1,Daytona,20.0,8.0,4.0,Raphael Lessard,JBL (Kyle Busch),Toyota,105.0,running,0.0,24.0,0.0
2020,1,Daytona,21.0,28.0,52.0,Stewart Friesen,Halmar International (Chris Larsen),Toyota,105.0,running,13.0,25.0,0.0
2020,1,Daytona,22.0,3.0,18.0,Christian Eckes,Safelite Auto Glass (Kyle Busch),Toyota,105.0,running,0.0,23.0,0.0
2020,1,Daytona,23.0,14.0,15.0,Tanner Gray,Ford / Ford Performance (David Gilliland),Ford,98.0,crash,0.0,15.0,0.0
2020,1,Daytona,24.0,26.0,97.0,Jesse Little,Teletrac Navman (Logan Puckett),Chevrolet,98.0,crash,0.0,0.0,0.0
2020,1,Daytona,25.0,13.0,99.0,Ben Rhodes,Food Lion / Carolina Nut Co. (Duke Thorson),Ford,97.0,crash,17.0,21.0,0.0
2020,1,Daytona,26.0,20.0,56.0,Gus Dean,Mashonit (Timmy Hill),Chevrolet,97.0,crash,0.0,11.0,0.0
2020,1,Daytona,27.0,7.0,26.0,Tyler Ankrum,Liuna (Maury Gallagher),Chevrolet,97.0,crash,1.0,27.0,0.0
2020,1,Daytona,28.0,32.0,0.0,Angela Ruch,DWF Flooring & Cabinets / COREtec (Josh Reaume),Chevrolet,65.0,crash,0.0,9.0,0.0
2020,1,Daytona,29.0,22.0,28.0,Bryan Dauzat,FDNY / American Genomics / O.B. Builders (Jim Rosenblum),Chevrolet,65.0,crash,0.0,8.0,0.0
2020,1,Daytona,30.0,18.0,2.0,Tate Fogleman,Solid Rock Carriers (Randy Young),Chevrolet,62.0,crash,0.0,7.0,0.0
2020,1,Daytona,31.0,24.0,22.0,Austin Wayne Self,AM Technical Solutions / Go Texan (Tim Self),Chevrolet,15.0,crash,0.0,6.0,0.0
2020,1,Daytona,32.0,17.0,45.0,Ty Majeski,Plan B Sales (Al Niece),Chevrolet,15.0,crash,0.0,5.0,0.0
2020,2,Las Vegas,1.0,3.0,51.0,Kyle Busch,Cessna / Beechcraft (Kyle Busch),Toyota,134.0,running,108.0,0.0,0.0
2020,2,Las Vegas,2.0,1.0,13.0,Johnny Sauter,Tenda (Duke Thorson),Ford,134.0,running,7.0,34.0,0.0
2020,2,Las Vegas,3.0,6.0,16.0,Austin Hill,United Rentals (Shigeaki Hattori),Toyota,134.0,running,0.0,40.0,0.0
2020,2,Las Vegas,4.0,13.0,88.0,Matt Crafton,Black Label Bacon / Menards (Duke Thorson),Ford,134.0,running,0.0,29.0,0.0
2020,2,Las Vegas,5.0,18.0,99.0,Ben Rhodes,Carolina Nut Co. (Duke Thorson),Ford,134.0,running,0.0,39.0,0.0
2020,2,Las Vegas,6.0,15.0,21.0,Zane Smith,The Cosmopolitan of Las Vegas (Maury Gallagher),Chevrolet,134.0,running,0.0,31.0,0.0
2020,2,Las Vegas,7.0,25.0,38.0,Todd Gilliland,Speedco (Bob Jenkins),Ford,134.0,running,0.0,32.0,0.0
2020,2,Las Vegas,8.0,14.0,15.0,Tanner Gray,Ford / Ford Performance (David Gilliland),Ford,134.0,running,0.0,29.0,0.0
2020,2,Las Vegas,9.0,17.0,52.0,Stewart Friesen,Halmar International (Chris Larsen),Toyota,134.0,running,0.0,28.0,0.0
2020,2,Las Vegas,10.0,2.0,2.0,Sheldon Creed,Chevy.com / Trench Shoring (Maury Gallagher),Chevrolet,134.0,running,8.0,28.0,0.0
2020,2,Las Vegas,11.0,7.0,26.0,Tyler Ankrum,Liuna (Maury Gallagher),Chevrolet,134.0,running,0.0,23.0,0.0
2020,2,Las Vegas,12.0,21.0,11.0,Spencer Davis,Hearn Industrial Services (Spencer Davis),Toyota,134.0,running,0.0,25.0,0.0
